Startup,URL,Description,Country,Focus Area,Innovation Area,Founded,Maturity,Total Funding,Funding Stage,Theme
CityZenith,https://cityzenith.com/,"Cityzenith, formerly Screampoint, aggregates data from sources such as public (Open Data), IoT and M2M (real-time operational) and citizens (Social Media) and makes it available through a standard and open digital twin platform.  They also have a facility to build apps called 5D smart apps that leverage this data in the form of apps. The software tool they provide known as Smart World Pro allows architects, property managers, & property owners to create digitized versions of their properties and work on them. Can conduct natural-language searches through project data, run AI and machine learning-driven ROI analyses on-the-fly on the digital twin. An app marketplace is available as well (5D Smart App Market).",USA,Green Building,Buildings & Heat,2009,Mature,"7,270,000",Acquired,Accessibility
Claroty,https://www.claroty.com/,"Claroty provides security & optimization solutions for OT networks. It is a security company which is developing a cybersecurity solution for industrial control systems (ICS). The platform offered by the company provides a solution such as continuous vulnerability detection, continuous threat monitoring, network segmentation, and security posture assessment. The clients include Siemens, ABB, Honeywell, Mitsubishi, and Schneider Electric.",USA,Cybersecurity,Safety,2014,Nascent,"93,000,000",Series B,Stability
Climate View,https://www.climateview.global/,"ClimateView provides data intelligence solutions for air pollution. Its tool is useful for climate professionals and cities focused on planning, connecting and collaborating towards climate neutrality.",Sweden,CCT,Carbon Management,2017,Nascent,"2,500,000",Seed,Sustainability
Climeworks,https://climeworks.com/,"Climeworks is an ETH spin-off company that develops a carbon dioxide (CO2) reclaiming system. Its product extracts carbon dioxide from ambient air. It builds three models based on the amount of CO2 extracted - Demonstrator (8kg extraction per day), Collector (135kg extraction per day) and Capture Plants (35kg extraction per hour). Its chief target markets are F&B companies that use CO2 for aeration in food processing and greenhouse owners. It also intends to enable the creation of carbon-neutral synthetic fuels using extracted CO2. Climeworks has also received financing from Gebert Stiftung, and Vigier Stiftung.",Switzerland,CCT,Carbon Management,2009,Mature,"124,871,000",Series D,Sustainability
Clir,https://clir.eco/,"Clir is a renewable energy asset reporting and optimisation software that provides analytics giving instructions on how to increase production and protect asset health. Includes data integrity, data analytics, modelling, turbine/panel engineering, control engineering, asset management, financial planning and reporting. Claims to improve power plant operations, increase domain knowledge, enhance power output and maximize analytics.",Canada,Renewable Generation,Optimising Network Resources,2016,Nascent,"5,352,780",Series A,Sustainability
Clobotics,https://clobotics.com/,"Clobotics provides drone data management solutions. It offers drone data acquisition flight services and a cloud-based data analysis and viewing software solution. Clobotics also offers IT consulting and data migration services to enterprise clients. Also, it offers drone-based wind turbine inspection and monitoring solutions.",China,Predictive Maintainance,Smart Operations,2016,Nascent,"58,000,000",Series A,Stability
Co2Cert,https://co2cert.com/,Co2Cert is a provider of solutions to convert carbon into fuel and materials. It converts convert carbon dioxide into fuels and chemical feedstocks using only water and electricity. It uses membrane electrode assembly (MEA) electrochemical cells to reduce CO­2 into a renewable source of fuels and materials.,Canada,CCT,Carbon Management,2019,Nascent,"1,400,000",Seed,Sustainability
Columbus PV,https://www.columbuspv.com/,"Columbus Photovoltaics is developing a proprietary technology and designing wide band gap semiconductors (other than the regularly used silicon), which capture and convert a greater portion of the sun’s rays into electricity. The company claims the new solar cells will be easy for commercial manufacturing and will reduce production cost. The company is currently developing their prototype product at The University of North Carolina, Charlotte.",USA,Renewable Generation,Whole System Resources,2011,Emerging,"2,720,000",Series A,Sustainability
Concentric Power,https://www.concentricpower.com/,"Concentric Power provides advanced power system for energy sector industries. It provides solutions for microgrid development and control solutions. Its control technology manages the supply, cost, and load management. It also provides financial and asset management solutions for the microgrid.",USA,Emerging Business Models,Enabling Consumers,2011,Nascent,"456,419",Seed,Accessibility
Convergent EP,https://www.convergentep.com/,Convergent Energy Power is a developer of Grid Scale Energy Storage projects. The company provides for end to end implementation of projects with expertise in both grid connected as well as behind-the-meter energy storage solutions. Convergent provides for solutions for utilities and larger commercial and industrial customers.,USA,Grid-scale Storage,Whole System Resources,2011,Mature,"12,800,000",Acquired,Stability
Convion,https://convion.fi/,Convion is a leading fuel cell system developer committed to commercializing solid oxide fuel cell systems in range of 50-300kW for distributed power generation.,Finland,Battery technology,Whole System Resources,2012,Nascent,,Series A,Mobility
CPower,https://cpowerenergymanagement.com/,"CPower (ConsumerPowerline) delivers energy management services and solutions that enable utilities and grid operators to manage peak demand while enabling commercial facility owners and operators, industrial businesses, retailers, and institutions to optimize their facilities and operations through strategic and energy reduction initiatives in North America and the United Kingdom. Currently, it is one of the largest companies offering demand response services and serves more than 1,000 commercial and industrial customers at thousands of sites within the U.S.",USA,Smarter Grid,Optimising Network Resources,2014,Mature,,Acquired,Accessibility
