Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Year Score,Funding Score,Maturity Score,Maturity,Value Chain Grouping,EU,Focus Area,Opportunity Space
AxeTrading,https://www.axetrading.com/,2,Access Liquidity,6,"FI, FX & Listed Equities","Axe Trading Co is an International Trade and Development company providing trading solutions for both buy side and sell side participants in the fixed income market. The solutions allow multi-platform integration, supports best execution, STP and has a pricing engine, among other features. The solution also provides post-trade integration with regulatory reporting venues. The solution supports various connectivity options including Voice, E-platforms, SEF, STP, and more.",USA,2009,Series A,2017,2000000,2000000,0.99,0.33,0.66,Emerging,2. SECONDARY,Y,,
Delio,https://www.deliogroup.com/,2,Access Liquidity,4,"Unlisted equities, PE & VC","Delio provides wealth managers, private banks and other financial institutions with a compliant way of allowing clients and advisors to share and access direct, private market investment opportunities internally and across networks.",USA,2014,Seed,2014,3770000,2410000,0.66,0,0.33,Nascent,2. SECONDARY,Y,,
Axoni,https://axoni.com/,4,Automate workflows,11,Trade Straight Through Processing,"Axoni is a blockchain startup founded by Tradeblock founders, they just completed proof of technology submission for ICAP, a leading markets operator, on 26 February 2016. They provide markets with a multi asset messaging and matching Harmony network, and blockchain infrastructure to create a private, peer-to-peer, distributed ledger network using smart contracts. Their implementation process provides life cycle automation, transactional privacy, sufficient processing of trades to support high-volume markets, automated reporting, and a dynamic permissioning system to onboard new network participants.",USA,2013,Series B,2018,59000000,32000000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,N,,
Axyon,https://axyon.ai/,3,Manage Risk,9,Data & Risk Analytics,"Axyon is a company that creates solutions based on Deep Learning for various applications and industries. It was created as a spin-off of DM Digital, a developer of AI-based applications. The company currently has 2 products out: Axyon Syn Finance for investment banks, and Axyon Stocks Analyst that helps in identifying stock trading strategies based on Deep Learning. Apart from these products, Axyon also offers solutions around credit risk assessment, wealth management, fraud detection and sales. Axyon provides a machine learning platform for developing and training machine learning algorithms. Users can access the platform via a easy to use interface where they can select the machine learning models, training data sets, no of CPUs and GPUs the process needs to be distributed on, and deploy trained models to predict new outcomes from data.","New Haven, Connecticut, United States",2015,Series A,2019,1470000,1470000,0.66,0.33,0.495,Nascent,2. SECONDARY,Y,,
Ayasdi,https://www.ayasdi.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"Ayasdi provides AI-enabled regulatory solutions to financial sectors. It offers risk management, AML solutions, and more, It employs data analysis to extract knowledge from data sets confronting organizations. It facilitates topological summaries to revolutionize the process for converting data into business impact.","Montr̩al, Quebec, Canada",2008,Series C,2017,100000000,55000000,0.99,0.66,0.825,Mature,2. SECONDARY,N,,
Babb,https://getbabb.com/,5,Engage Consumers,16,P2P Platforms,"BABB is developing a decentralized banking platform. Aims to provide a platform that enables people to open a bank account and access peer-to-peer banking services. Users can make cross-border money transfers, request payments and exchange currencies. Also aims to offers a decentralized payment card that enables customers to spend fiat currency, online and in any country.","Dublin, Dublin, Ireland",2016,Seed,2018,1780000,1780000,0.33,0,0.165,Nascent,6. OTHER,Y,,
Bakkt,https://www.bakkt.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Bakkt is a financial services company that focuses on digital currency that specializes in concurrency, rewards, and loyalty points. It features a software application platform designed for digital asset management that helps institutional clients in an end-to-end regulated market. The company was founded in 2018 and headquartered in Atlanta, Georgia.","Mexico City, Distrito Federal, Mexico",2018,Series B,2020,482500000,300000000,0.33,0.33,0.33,Nascent,6. OTHER,N,,
Base Zero,https://www.basezero.com/,3,Manage Risk,10,Crypto-Custody & Encryption,"Base Zero provides institutional-grade security for all popular cryptocurrencies. By storing secret keys in secure air-gapped devices, we protect you from all network attacks, while allowing you to execute a transaction in minutes. Multiple signatures are required for all transactions, defending against the compromise of any single key. Our multi-signature scheme is blockchain enforced, so your funds are secured by the same rules which govern the blockchain itself. When your business depends on it, Base Zero offers uncompromising security.",England,2018,Seed,2019,60000,60000,0.33,0,0.165,Nascent,3. POST TRADE,N,,
Baton Systems,https://www.batonsystems.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,Baton offers patented customized clearing and settlement solution for all asset classes and currencies to its merchants. Act as a gateway between bank ledgers and merchants for real-time reconciliation using industry protocols. Claims to keep current processes and systems intact and offer both in-house and cloud-based solutions. Can build custom workplaces for merchants using API's. It was founded as Ubixi in 2016.,"Berlin, Berlin, Germany",2016,Series A,2020,28300000,16300000,0.33,0.33,0.33,Nascent,3. POST TRADE,N,,
Beacon,https://www.beacon.io/,4,Automate workflows,12,IT & Data Cost Managament,"Beacon provides a platform for financial institutions that allows them to build custom applications on top of the already provided modules. The Beacon platform already includes powerful analytics and tools such as trade blotter, marking and structuring tools, risk and PnL reports etc. Companies can use the code of these apps to build customized features on the platform to be integrated into their solution.","London, England, United Kingdom",2014,Series B,2020,37100000,20100000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
BehavioSec,https://www.behaviosec.com/,3,Manage Risk,7,Fraud & Cybersecurity,"BehavioSec provides solutions for risk-based authentication of end users of both IT organizations and online services over the web, mobile, and desktops. The solution creates digital fingerprint from user behavior and identifies unauthorized users by detecting anomalies in keyboard/mouse or environment behavior to prevent fraud, information theft and stopping intrusions. Technology is based on patented continuous authentication verification technology which employs machine learning over data collected by supersensitive modern devices.",United States,2008,Series B,2018,25100000,17500000,0.99,0.33,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Behavox,https://www.behavox.com/,3,Manage Risk,7,Fraud & Cybersecurity,"Behavox provides employee surveillance and compliance solutions for officers and forensics teams. It helps in detecting cases of market abuse, fraud, collusion, sensitive and reckless behavior, and conducts investigations faster. By linking communication (phone calls, email, IB chat etc.) and trading data the solutions allow users to discover, visualize and quantify the relationships between people, organizations, transactions, and content.",England,2014,Series C,2020,127000000,100000000,0.66,0.66,0.66,Emerging,5. E-2-E INTEGRATION,Y,,
Better.com,https://better.com/,5,Engage Consumers,16,P2P Platforms,"Founded in 2016, Better.com democratized the home-financing ecosystem, replacing it with a digitized process that eliminates commissions, fees, unnecessary steps, and time-wasting branch appointments. In addition to providing mortgage rates in seconds, Better.com's platform offers a digital marketplace featuring competitive quotes from an array of insurance providers for seamless purchase of a homeowner's insurance policy and instant access to leading real estate agents across the country. To date, Better.com has done $7.9B in home loans and $1B in insurance.",USA,2016,Series C,2019,254000000,160000000,0.33,0.66,0.495,Nascent,6. OTHER,N,,
Betterment,http://www.betterment.com,5,Engage Consumers,15,Banking & Personal Finance,"Betterment is a smart automated investing service that provides optimized investment returns for individual, IRA, ROTH IRA, and rollover 401(k) accounts. Its technology enables users to manage their investments in a customized, diversified portfolio. Charging a management fee of 0.25%, the company enables users to access, view, share, and review their portfolio's activities as well as deposit and withdraw money from anywhere, anytime. Betterments products also include Tax Loss Harvesting, a program that works to offset taxes on both gains and income; and RetireGuide, a series of online surveys to enable users to determine the success of their long-term financial goals.",USA,2008,Series E,2017,275000000,,0.99,0.66,0.825,Mature,6. OTHER,N,,
